Date,Price,Open,High,Low,Vol,Change %
1/19/2023,"27,500.00","27,600.00","27,800.00","27,200.00",377.91K,-0.36%
1/18/2023,"27,600.00","28,000.00","28,400.00","27,400.00",306.06K,-1.08%
1/17/2023,"27,900.00","27,100.00","28,200.00","27,100.00",475.96K,2.95%
1/16/2023,"27,100.00","26,600.00","27,400.00","26,500.00",385.65K,1.88%
1/13/2023,"26,600.00","26,500.00","27,000.00","26,400.00",619.57K,0.38%
1/12/2023,"26,500.00","25,800.00","26,600.00","25,700.00",362.47K,2.71%
1/11/2023,"25,800.00","26,500.00","26,600.00","25,800.00",451.70K,-1.53%
1/10/2023,"26,200.00","24,700.00","26,800.00","24,500.00",587.26K,6.07%
1/9/2023,"24,700.00","24,800.00","25,400.00","24,600.00",433.92K,0.41%
1/6/2023,"24,600.00","25,100.00","25,200.00","24,500.00",430.83K,-1.60%
1/5/2023,"25,000.00","24,600.00","25,600.00","24,500.00",556.75K,1.63%
1/4/2023,"24,600.00","24,900.00","25,500.00","24,000.00",583.86K,-0.40%
1/3/2023,"24,700.00","22,500.00","24,700.00","22,500.00",909.09K,9.78%
12/30/2022,"22,500.00","22,500.00","23,000.00","21,600.00",714.40K,3.69%
12/29/2022,"21,700.00","21,500.00","22,300.00","21,100.00",372.63K,1.40%
12/28/2022,"21,400.00","21,700.00","21,900.00","20,800.00",103.01K,-0.47%
12/27/2022,"21,500.00","20,600.00","21,500.00","20,200.00",243.07K,4.37%
12/26/2022,"20,600.00","20,800.00","21,500.00","20,600.00",289.22K,-0.48%
12/23/2022,"20,700.00","20,600.00","20,800.00","20,200.00",89.34K,0.49%
12/22/2022,"20,600.00","20,700.00","20,900.00","19,900.00",145.99K,1.98%
12/21/2022,"20,200.00","21,400.00","21,500.00","19,700.00",232.06K,-5.61%
12/20/2022,"21,400.00","21,200.00","21,800.00","19,800.00",341.82K,-0.47%
12/19/2022,"21,500.00","21,700.00","22,700.00","21,300.00",357.00K,0.94%
12/16/2022,"21,300.00","21,000.00","22,000.00","20,600.00",205.37K,0.95%
12/15/2022,"21,100.00","21,200.00","21,500.00","20,700.00",93.50K,-0.47%
12/14/2022,"21,200.00","21,400.00","21,900.00","20,700.00",165.21K,0.00%
12/13/2022,"21,200.00","20,400.00","21,300.00","20,400.00",179.20K,0.95%
12/12/2022,"21,000.00","21,200.00","22,300.00","21,000.00",440.25K,0.00%
12/9/2022,"21,000.00","19,900.00","21,100.00","19,500.00",369.18K,5.53%
12/8/2022,"19,900.00","20,000.00","20,800.00","19,800.00",176.15K,-0.50%
12/7/2022,"20,000.00","19,600.00","20,300.00","19,200.00",201.60K,-1.96%
12/6/2022,"20,400.00","19,361.00","21,439.00","19,361.00",385.92K,-4.85%
12/5/2022,"21,439.00","20,117.00","21,439.00","20,117.00",365.04K,8.10%
12/2/2022,"19,833.00","18,889.00","19,833.00","18,322.00",354.51K,3.96%
12/1/2022,"19,078.00","19,644.00","19,739.00","18,322.00",315.22K,0.00%
11/30/2022,"19,078.00","18,228.00","19,172.00","17,944.00",254.71K,4.66%
11/29/2022,"18,228.00","17,944.00","18,700.00","17,378.00",509.48K,1.58%
11/28/2022,"17,944.00","16,528.00","17,944.00","16,528.00",274.29K,8.57%
11/25/2022,"16,528.00","16,056.00","16,528.00","15,961.00",210.59K,4.79%
11/24/2022,"15,772.00","15,772.00","16,244.00","15,583.00",120.75K,0.60%
11/23/2022,"15,678.00","16,056.00","16,528.00","15,678.00",111.62K,-2.35%
11/22/2022,"16,056.00","17,000.00","17,189.00","15,678.00",347.15K,1.80%
11/21/2022,"15,772.00","13,789.00","16,244.00","13,789.00",255.33K,3.08%
11/18/2022,"15,300.00","13,411.00","15,300.00","13,411.00",196.95K,3.18%
11/17/2022,"14,828.00","14,356.00","15,300.00","14,356.00",210.92K,3.29%
11/16/2022,"14,356.00","11,994.00","14,356.00","11,900.00",306.24K,9.35%
11/15/2022,"13,128.00","13,506.00","14,261.00","12,939.00",364.24K,-4.79%
11/14/2022,"13,789.00","12,750.00","14,356.00","12,750.00",242.11K,-2.01%
11/11/2022,"14,072.00","13,789.00","15,583.00","13,789.00",254.64K,-8.03%
11/10/2022,"15,300.00","15,300.00","17,000.00","15,300.00",424.82K,-10.00%
11/9/2022,"17,000.00","17,283.00","17,472.00","17,000.00",89.30K,-0.55%
11/8/2022,"17,094.00","17,000.00","17,283.00","16,622.00",159.10K,1.11%
11/7/2022,"16,906.00","18,511.00","18,511.00","16,906.00",199.10K,-8.67%
11/4/2022,"18,511.00","19,361.00","19,361.00","18,417.00",146.21K,-4.39%
11/3/2022,"19,361.00","19,078.00","20,211.00","18,794.00",214.52K,0.49%
11/2/2022,"19,267.00","19,078.00","19,267.00","18,700.00",144.05K,2.52%
11/1/2022,"18,794.00","18,794.00","19,267.00","18,511.00",126.12K,0.50%
10/31/2022,"18,700.00","19,361.00","19,361.00","18,133.00",147.08K,-1.00%
10/28/2022,"18,889.00","19,739.00","19,739.00","18,889.00",143.33K,0.00%
10/27/2022,"18,889.00","16,150.00","18,889.00","16,150.00",149.64K,5.82%
10/26/2022,"17,850.00","18,794.00","18,794.00","17,756.00",137.21K,-2.07%
10/25/2022,"18,228.00","18,417.00","19,361.00","17,094.00",278.20K,-1.03%
10/24/2022,"18,417.00","20,117.00","20,778.00","18,322.00",347.50K,-7.58%
10/21/2022,"19,928.00","21,628.00","21,722.00","19,644.00",532.44K,-8.26%
10/20/2022,"21,722.00","21,911.00","22,194.00","21,722.00",91.30K,-1.71%
10/19/2022,"22,100.00","22,194.00","22,478.00","21,817.00",208.56K,0.00%
10/18/2022,"22,100.00","23,044.00","23,328.00","21,817.00",254.57K,-2.50%
10/17/2022,"22,667.00","21,722.00","22,667.00","21,156.00",246.11K,4.35%
10/14/2022,"21,722.00","21,911.00","22,478.00","21,533.00",289.72K,0.88%
10/13/2022,"21,533.00","21,250.00","21,911.00","21,250.00",128.66K,1.78%
10/12/2022,"21,156.00","20,306.00","21,628.00","20,306.00",341.53K,4.19%
10/11/2022,"20,306.00","21,911.00","22,478.00","20,306.00",518.85K,-7.33%
10/10/2022,"21,911.00","20,967.00","22,100.00","20,211.00",273.84K,4.04%
10/7/2022,"21,061.00","21,722.00","21,817.00","19,833.00",673.75K,-3.04%
10/6/2022,"21,722.00","23,611.00","23,894.00","21,722.00",438.66K,-8.00%
10/5/2022,"23,611.00","22,856.00","24,083.00","22,761.00",434.02K,3.73%
10/4/2022,"22,761.00","23,989.00","24,556.00","22,761.00",597.73K,-3.99%
10/3/2022,"23,706.00","26,161.00","26,161.00","23,706.00",665.86K,-9.38%
9/30/2022,"26,161.00","24,839.00","26,444.00","23,800.00",845.22K,5.32%
9/29/2022,"24,839.00","28,333.00","28,806.00","24,839.00",1.65M,-9.93%
9/28/2022,"27,578.00","29,278.00","30,128.00","27,483.00",1.08M,-7.01%
9/27/2022,"29,656.00","26,444.00","29,939.00","26,444.00",2.08M,8.65%
9/26/2022,"27,294.00","27,956.00","28,144.00","26,350.00",776.01K,-3.35%
9/23/2022,"28,239.00","28,333.00","29,089.00","27,956.00",650.25K,-1.32%
9/22/2022,"28,617.00","27,767.00","28,711.00","27,389.00",731.99K,2.71%
9/21/2022,"27,861.00","27,861.00","29,089.00","27,672.00",710.55K,0.00%
9/20/2022,"27,861.00","27,956.00","28,239.00","27,389.00",417.12K,-0.67%
9/19/2022,"28,050.00","26,161.00","28,806.00","25,972.00",1.85M,6.83%
9/16/2022,"26,256.00","26,444.00","26,633.00","25,972.00",227.30K,-0.71%
9/15/2022,"26,444.00","25,689.00","26,822.00","25,689.00",305.57K,2.94%
9/14/2022,"25,689.00","24,839.00","25,878.00","23,800.00",277.42K,1.87%
9/13/2022,"25,217.00","25,217.00","25,311.00","24,744.00",217.44K,-0.37%
9/12/2022,"25,311.00","26,161.00","26,161.00","25,311.00",75.64K,-1.11%
9/9/2022,"25,594.00","25,122.00","25,594.00","24,744.00",113.10K,2.26%
9/8/2022,"25,028.00","24,461.00","25,689.00","24,367.00",277.02K,0.00%
9/7/2022,"25,028.00","26,822.00","26,822.00","25,028.00",346.85K,-6.36%
9/6/2022,"26,728.00","26,444.00","27,106.00","26,350.00",304.50K,1.43%
9/5/2022,"26,350.00","26,917.00","26,917.00","26,067.00",161.70K,-1.06%
8/31/2022,"26,633.00","26,444.00","26,633.00","26,067.00",116.34K,0.71%
8/30/2022,"26,444.00","26,728.00","27,294.00","26,444.00",144.51K,0.00%
8/29/2022,"26,444.00","26,728.00","26,728.00","25,689.00",261.10K,-1.76%
8/26/2022,"26,917.00","27,294.00","27,389.00","26,728.00",204.10K,-1.04%
8/25/2022,"27,200.00","27,200.00","27,767.00","27,106.00",256.73K,0.35%
8/24/2022,"27,106.00","27,106.00","27,578.00","26,822.00",443.82K,1.06%
8/23/2022,"26,822.00","26,067.00","26,917.00","25,594.00",263.93K,2.53%
8/22/2022,"26,161.00","26,822.00","26,822.00","26,067.00",255.27K,-2.81%
8/19/2022,"26,917.00","26,917.00","27,578.00","26,633.00",212.03K,-0.35%
8/18/2022,"27,011.00","27,389.00","27,483.00","26,917.00",173.01K,-2.06%
8/17/2022,"27,578.00","27,767.00","28,050.00","27,294.00",398.57K,0.69%
8/16/2022,"27,389.00","27,011.00","27,956.00","26,822.00",435.81K,2.11%
8/15/2022,"26,822.00","26,917.00","27,106.00","26,539.00",290.06K,1.43%
8/12/2022,"26,444.00","26,256.00","26,728.00","25,783.00",190.00K,0.72%
8/11/2022,"26,256.00","26,822.00","27,200.00","26,161.00",353.25K,-0.71%
8/10/2022,"26,444.00","27,011.00","27,011.00","26,350.00",221.91K,0.00%
8/9/2022,"26,444.00","27,011.00","27,011.00","26,350.00",131.71K,0.00%
8/8/2022,"26,444.00","26,917.00","27,106.00","26,350.00",380.37K,-2.10%
8/5/2022,"27,011.00","29,278.00","29,278.00","26,633.00",221.15K,0.35%
8/4/2022,"26,917.00","26,633.00","27,483.00","26,633.00",329.10K,1.07%
8/3/2022,"26,633.00","26,539.00","26,728.00","26,161.00",227.80K,0.71%
8/2/2022,"26,444.00","26,161.00","27,389.00","26,067.00",460.90K,1.08%
8/1/2022,"26,161.00","25,217.00","26,350.00","25,028.00",439.74K,3.74%
7/29/2022,"25,217.00","25,972.00","26,256.00","25,217.00",241.30K,-3.26%
7/28/2022,"26,067.00","24,461.00","26,350.00","24,461.00",687.83K,6.57%
7/27/2022,"24,461.00","23,328.00","24,461.00","23,328.00",235.80K,4.86%
7/26/2022,"23,328.00","23,139.00","23,989.00","23,139.00",166.01K,0.82%
7/25/2022,"23,139.00","23,233.00","23,611.00","23,139.00",106.21K,-0.40%
7/22/2022,"23,233.00","23,894.00","24,272.00","23,233.00",174.22K,-2.77%
7/21/2022,"23,894.00","24,461.00","24,461.00","23,800.00",161.11K,-1.94%
7/20/2022,"24,367.00","24,367.00","24,744.00","24,272.00",268.71K,0.00%
7/19/2022,"24,367.00","24,461.00","24,650.00","23,800.00",189.01K,-0.38%
7/18/2022,"24,461.00","23,611.00","25,028.00","23,422.00",340.34K,3.60%
7/15/2022,"23,611.00","23,044.00","24,083.00","22,950.00",314.81K,2.88%
7/14/2022,"22,950.00","23,139.00","23,328.00","22,667.00",117.00K,-0.82%
7/13/2022,"23,139.00","22,478.00","23,611.00","22,478.00",229.31K,2.94%
7/12/2022,"22,478.00","19,833.00","22,572.00","19,833.00",201.40K,2.59%
7/11/2022,"21,911.00","21,628.00","22,289.00","21,533.00",200.07K,1.31%
7/8/2022,"21,628.00","21,344.00","22,100.00","21,061.00",301.65K,3.62%
7/7/2022,"20,872.00","20,778.00","21,061.00","20,589.00",120.21K,0.91%
7/6/2022,"20,683.00","20,967.00","21,439.00","20,683.00",204.21K,-4.37%
7/5/2022,"21,628.00","22,478.00","22,478.00","21,250.00",156.61K,-3.78%
7/4/2022,"22,478.00","23,611.00","23,611.00","21,911.00",79.60K,-0.83%
7/1/2022,"22,667.00","22,856.00","22,856.00","20,589.00",395.80K,-0.83%
6/30/2022,"22,856.00","23,328.00","23,422.00","22,856.00",124.22K,-2.81%
6/29/2022,"23,517.00","23,422.00","23,800.00","23,139.00",184.70K,-0.40%
6/28/2022,"23,611.00","23,517.00","24,178.00","23,044.00",225.80K,2.88%
6/27/2022,"22,950.00","22,478.00","23,233.00","22,478.00",193.50K,2.97%
6/24/2022,"22,289.00","22,289.00","22,950.00","22,194.00",217.21K,0.86%
6/23/2022,"22,100.00","21,250.00","22,194.00","21,250.00",204.60K,4.00%
6/22/2022,"21,250.00","21,250.00","22,194.00","20,778.00",213.69K,2.27%
6/21/2022,"20,778.00","21,156.00","22,006.00","20,400.00",397.20K,-2.22%
6/20/2022,"21,250.00","23,611.00","23,611.00","21,250.00",383.58K,-10.00%
6/17/2022,"23,611.00","23,611.00","24,083.00","22,667.00",240.05K,-3.85%
6/16/2022,"24,556.00","24,178.00","25,783.00","24,178.00",270.81K,1.56%
6/15/2022,"24,178.00","25,878.00","25,972.00","23,800.00",354.80K,-6.23%
6/14/2022,"25,783.00","25,972.00","26,633.00","25,406.00",256.20K,-0.73%
6/13/2022,"25,972.00","28,806.00","28,806.00","25,972.00",515.86K,-9.84%
6/10/2022,"28,806.00","29,278.00","30,600.00","28,806.00",501.54K,-2.24%
6/9/2022,"29,467.00","29,372.00","29,656.00","29,089.00",174.20K,0.00%
6/8/2022,"29,467.00","28,428.00","29,656.00","28,428.00",513.54K,4.35%
6/7/2022,"28,239.00","28,333.00","28,522.00","27,200.00",438.22K,0.34%
6/6/2022,"28,144.00","28,711.00","29,278.00","28,144.00",334.23K,-1.97%
6/3/2022,"28,711.00","29,278.00","29,750.00","28,711.00",289.70K,-3.80%
6/2/2022,"29,844.00","30,222.00","30,222.00","28,806.00",370.00K,-1.25%
6/1/2022,"30,222.00","33,056.00","33,056.00","29,844.00",285.90K,-1.24%
5/31/2022,"30,600.00","30,058.00","31,412.00","29,788.00",470.94K,1.80%
5/30/2022,"30,058.00","29,607.00","30,419.00","29,607.00",279.37K,0.30%
5/27/2022,"29,968.00","30,058.00","30,149.00","29,607.00",365.81K,0.00%
5/26/2022,"29,968.00","29,788.00","30,329.00","29,607.00",464.56K,0.60%
5/25/2022,"29,788.00","27,982.00","29,788.00","27,892.00",315.10K,7.14%
5/24/2022,"27,802.00","27,080.00","27,802.00","26,177.00",157.42K,1.32%
5/23/2022,"27,441.00","27,441.00","28,073.00","26,899.00",338.81K,0.00%
5/20/2022,"27,441.00","27,350.00","27,982.00","27,170.00",227.10K,0.33%
5/19/2022,"27,350.00","27,080.00","27,621.00","25,996.00",186.54K,0.00%
5/18/2022,"27,350.00","27,080.00","27,802.00","26,899.00",159.64K,3.06%
5/17/2022,"26,538.00","21,844.00","26,538.00","21,844.00",224.80K,9.70%
5/16/2022,"24,191.00","22,025.00","26,177.00","22,025.00",314.26K,-1.11%
5/13/2022,"24,462.00","27,170.00","27,892.00","24,462.00",514.40K,-9.97%
5/12/2022,"27,170.00","29,427.00","29,517.00","27,080.00",209.20K,-7.67%
5/11/2022,"29,427.00","29,336.00","29,697.00","28,614.00",114.10K,1.88%
5/10/2022,"28,885.00","25,726.00","28,885.00","25,274.00",283.40K,4.58%
5/9/2022,"27,621.00","29,788.00","30,510.00","27,621.00",538.91K,-10.00%
5/6/2022,"30,690.00","32,315.00","32,315.00","30,690.00",219.24K,-5.56%
