Date,Price,Open,High,Low,Vol,Change %
3/20/2019,"52,916.90","53,334.00","53,698.90","52,656.20",444.78K,-0.78%
3/19/2019,"53,334.00","54,741.60","54,741.60","53,177.60",488.62K,-1.63%
3/18/2019,"54,220.30","54,220.30","54,324.50","53,751.10",367.48K,0.00%
3/15/2019,"54,220.30","54,324.50","54,689.50","53,751.10",565.33K,-0.19%
3/14/2019,"54,324.50","53,438.20","54,324.50","53,281.80",737.56K,2.16%
3/13/2019,"53,177.60","52,082.70","53,177.60","52,082.70",1.02M,2.10%
3/12/2019,"52,082.70","52,395.60","52,760.50","51,926.30",558.52K,0.40%
3/11/2019,"51,874.20","51,613.50","51,874.20","51,405.00",314.83K,0.71%
3/8/2019,"51,509.30","51,613.50","51,874.20","51,405.00",521.88K,-1.00%
3/7/2019,"52,030.60","52,082.70","52,395.60","51,874.20",398.33K,-0.10%
3/6/2019,"52,082.70","51,822.10","52,604.10","51,822.10",352.94K,-0.20%
3/5/2019,"52,187.00","52,552.00","52,760.50","51,874.20",573.32K,-0.79%
3/4/2019,"52,604.10","51,509.30","52,760.50","51,509.30",1.12M,2.44%
3/1/2019,"51,352.90","50,258.00","51,352.90","50,258.00",417.97K,2.18%
2/28/2019,"50,258.00","51,352.90","51,352.90","50,258.00",844.07K,-2.23%
2/27/2019,"51,405.00","51,248.60","51,822.10","50,987.90",463.73K,0.41%
2/26/2019,"51,196.40","52,395.60","52,395.60","50,935.80",604.23K,-1.80%
2/25/2019,"52,134.90","51,874.20","52,916.90","51,874.20",707.43K,0.91%
2/22/2019,"51,665.70","51,144.30","51,978.50","51,144.30",593.62K,0.10%
2/21/2019,"51,613.50","51,769.90","51,874.20","51,196.40",517.10K,0.10%
2/20/2019,"51,561.40","51,196.40","51,665.70","51,040.00",602.15K,1.02%
2/19/2019,"51,040.00","50,727.20","52,082.70","50,727.20",1.24M,0.62%
2/18/2019,"50,727.20","50,727.20","50,727.20","50,049.50",477.00K,0.62%
2/15/2019,"50,414.40","50,727.20","50,727.20","50,414.40",499.08K,-0.51%
2/14/2019,"50,675.10","50,935.80","51,300.70","50,623.00",708.64K,-0.41%
2/13/2019,"50,883.60","50,466.60","51,352.90","50,101.60",675.04K,0.83%
2/12/2019,"50,466.60","50,831.50","50,831.50","50,049.50",544.62K,-0.72%
2/11/2019,"50,831.50","49,893.10","50,831.50","49,840.90",612.53K,3.07%
2/1/2019,"49,319.60","49,788.80","49,788.80","49,006.80",396.82K,-0.42%
1/31/2019,"49,528.10","49,006.80","49,788.80","49,006.80",581.24K,1.28%
1/30/2019,"48,902.50","49,006.80","49,111.10","48,798.20",236.71K,-0.21%
1/29/2019,"49,006.80","49,319.60","49,319.60","48,746.10",164.21K,-0.21%
1/28/2019,"49,111.10","48,485.40","49,215.30","48,224.80",599.15K,2.39%
1/25/2019,"47,964.10","47,286.30","48,172.60","47,286.30",364.48K,1.43%
1/24/2019,"47,286.30","47,182.10","47,547.00","47,182.10",124.92K,0.22%
1/23/2019,"47,182.10","47,077.80","47,442.70","47,077.80",136.59K,-0.11%
1/22/2019,"47,234.20","47,807.70","47,859.80","47,234.20",284.69K,-1.20%
1/21/2019,"47,807.70","46,608.60","47,912.00","46,608.60",289.35K,2.80%
1/18/2019,"46,504.30","47,182.10","47,182.10","46,504.30",224.85K,-0.89%
1/17/2019,"46,921.40","47,547.00","47,755.50","46,921.40",495.73K,-1.85%
1/16/2019,"47,807.70","48,172.60","48,172.60","47,651.30",164.25K,-0.22%
1/15/2019,"47,912.00","47,494.90","47,964.10","47,494.90",167.22K,0.00%
1/14/2019,"47,912.00","48,172.60","48,224.80","47,703.40",269.81K,-0.65%
1/11/2019,"48,224.80","48,224.80","48,276.90","47,912.00",422.81K,0.22%
1/10/2019,"48,120.50","47,807.70","48,329.00","47,494.90",272.80K,0.87%
1/9/2019,"47,703.40","47,807.70","47,807.70","47,182.10",295.27K,0.55%
1/8/2019,"47,442.70","47,442.70","47,651.30","46,921.40",235.36K,-0.44%
1/7/2019,"47,651.30","47,703.40","47,964.10","47,234.20",382.17K,1.56%
1/4/2019,"46,921.40","45,618.00","46,921.40","45,044.50",431.79K,1.12%
1/3/2019,"46,400.00","47,964.10","48,329.00","46,295.80",707.75K,-3.26%
1/2/2019,"47,964.10","48,589.70","48,902.50","47,964.10",252.55K,-1.29%
12/28/2018,"48,589.70","49,371.70","49,371.70","48,589.70",367.16K,-0.85%
12/27/2018,"49,006.80","49,368.60","49,368.60","48,851.70",259.68K,1.39%
12/26/2018,"48,334.70","48,438.10","48,851.70","48,283.00",307.66K,-0.21%
12/25/2018,"48,438.10","48,283.00","48,800.00","48,076.30",546.42K,-1.58%
12/24/2018,"49,213.60","49,110.20","49,678.80","49,110.20",203.20K,0.21%
12/21/2018,"49,110.20","48,334.70","49,213.60","48,334.70",390.45K,0.96%
12/20/2018,"48,644.90","48,696.60","49,368.60","48,541.50",435.54K,-0.11%
12/19/2018,"48,696.60","49,368.60","49,523.70","48,696.60",384.46K,-1.67%
12/18/2018,"49,523.70","49,627.10","50,402.50","48,851.70",999.41K,-3.72%
12/17/2018,"51,436.40","50,454.20","51,436.40","49,833.90",757.88K,1.43%
12/14/2018,"50,712.70","51,229.70","51,591.50","50,609.30",561.94K,-0.81%
12/13/2018,"51,126.30","50,919.50","51,436.40","50,867.80",543.84K,0.92%
12/12/2018,"50,661.00","50,144.10","50,712.70","50,092.40",384.12K,1.03%
12/11/2018,"50,144.10","50,040.70","50,299.10","49,885.60",376.87K,0.21%
12/10/2018,"50,040.70","50,144.10","50,661.00","50,040.70",366.35K,-1.22%
12/7/2018,"50,661.00","49,368.60","50,919.50","49,368.60",947.86K,2.08%
12/6/2018,"49,627.10","49,316.90","49,782.20","48,851.70",455.38K,0.63%
12/5/2018,"49,316.90","48,851.70","49,472.00","48,438.10",510.36K,0.42%
12/4/2018,"49,110.20","49,110.20","49,265.30","48,851.70",491.08K,0.11%
12/3/2018,"49,058.50","48,800.00","49,110.20","48,386.40",409.55K,3.04%
11/30/2018,"47,611.00","47,197.50","48,231.40","47,197.50",497.16K,0.88%
11/29/2018,"47,197.50","49,368.60","49,523.70","47,042.40",1.15M,-4.40%
11/28/2018,"49,368.60","48,593.20","49,368.60","48,593.20",432.98K,1.06%
11/27/2018,"48,851.70","49,885.60","50,247.50","48,748.30",712.82K,-1.56%
11/26/2018,"49,627.10","49,058.50","49,627.10","48,903.40",287.61K,0.95%
11/23/2018,"49,161.90","49,885.60","49,989.00","49,161.90",332.32K,-1.35%
11/22/2018,"49,833.90","49,523.70","49,989.00","49,472.00",563.29K,0.94%
11/21/2018,"49,368.60","49,058.50","49,575.40","48,644.90",640.46K,-0.10%
11/20/2018,"49,420.30","49,058.50","49,730.50","48,800.00",527.45K,0.74%
11/19/2018,"49,058.50","48,489.80","49,058.50","48,334.70",530.35K,2.04%
11/16/2018,"48,076.30","48,076.30","48,696.60","47,766.10",382.28K,1.09%
11/15/2018,"47,559.30","48,128.00","48,593.20","47,507.60",374.31K,-1.60%
11/14/2018,"48,334.70","48,334.70","48,644.90","47,662.70",385.55K,0.00%
11/13/2018,"48,334.70","48,334.70","48,800.00","48,128.00",387.59K,-1.58%
11/12/2018,"49,110.20","48,179.70","49,110.20","47,972.90",269.05K,1.06%
11/9/2018,"48,593.20","49,627.10","49,989.00","48,593.20",691.06K,-2.79%
11/8/2018,"49,989.00","50,661.00","50,661.00","49,885.60",310.86K,0.52%
11/7/2018,"49,730.50","50,402.50","50,402.50","49,368.60",544.28K,-0.82%
11/6/2018,"50,144.10","51,591.50","51,591.50","50,040.70",443.40K,-1.52%
11/5/2018,"50,919.50","50,402.50","50,919.50","49,678.80",497.01K,0.00%
11/2/2018,"50,919.50","49,627.10","51,074.60","49,368.60",871.18K,3.68%
11/1/2018,"49,110.20","49,937.30","50,454.20","49,110.20",720.12K,-2.06%
10/31/2018,"50,144.10","49,110.20","50,144.10","48,334.70",702.45K,5.90%
10/30/2018,"47,352.50","46,577.10","47,817.80","46,577.10",828.43K,1.66%
10/29/2018,"46,577.10","47,559.30","47,972.90","46,577.10",618.42K,-2.70%
10/26/2018,"47,869.50","50,092.40","50,092.40","47,869.50",858.97K,-2.42%
10/25/2018,"49,058.50","47,042.40","49,627.10","46,783.90",1.30M,-1.15%
10/24/2018,"49,627.10","51,539.80","51,953.40","49,627.10",880.05K,-3.03%
10/23/2018,"51,178.00","52,056.80","52,418.60","50,557.60",1.28M,-2.46%
10/22/2018,"52,470.30","54,228.00","54,589.80","52,470.30",832.12K,-2.59%
10/19/2018,"53,866.10","52,728.80","54,021.20","52,470.30",872.43K,0.19%
10/18/2018,"53,762.70","53,555.90","54,434.70","53,245.80",505.21K,0.00%
10/17/2018,"53,762.70","54,693.20","54,693.20","53,762.70",722.58K,0.39%
10/16/2018,"53,555.90","52,987.30","53,711.00","52,780.50",706.19K,1.07%
10/15/2018,"52,987.30","54,693.20","54,693.20","52,728.80",1.30M,-3.12%
10/12/2018,"54,693.20","51,539.80","54,693.20","51,539.80",1.56M,3.52%
10/11/2018,"52,832.20","54,538.10","55,055.10","52,832.20",3.42M,-6.84%
10/10/2018,"56,709.30","56,347.50","56,709.30","56,192.40",832.91K,1.01%
10/9/2018,"56,140.70","55,520.30","56,605.90","55,313.60",941.42K,1.78%
10/8/2018,"55,158.50","54,796.60","55,727.10","54,589.80",634.31K,0.00%
10/5/2018,"55,158.50","55,830.50","56,347.50","55,055.10",995.66K,-1.20%
10/4/2018,"55,830.50","55,830.50","56,709.30","55,778.80",986.44K,0.19%
10/3/2018,"55,727.10","54,486.40","55,778.80","54,124.60",1.49M,3.06%
10/2/2018,"54,072.90","54,279.70","54,848.30","54,072.90",848.71K,-0.48%
10/1/2018,"54,331.40","54,538.10","55,572.00","53,762.70",1.07M,-0.38%
9/28/2018,"54,538.10","53,142.40","54,900.00","53,142.40",2.25M,2.63%
9/27/2018,"53,142.40","52,987.30","53,400.80","52,677.10",494.04K,0.29%
9/26/2018,"52,987.30","53,297.50","53,711.00","52,987.30",712.16K,-0.97%
9/25/2018,"53,504.20","52,728.80","53,866.10","52,263.60",1.18M,1.07%
9/24/2018,"52,935.60","53,194.10","53,400.80","52,728.80",796.48K,0.79%
9/21/2018,"52,522.00","51,384.70","52,522.00","51,384.70",1.22M,2.21%
9/20/2018,"51,384.70","51,694.90","51,798.30","51,074.60",732.21K,0.00%
9/19/2018,"51,384.70","52,211.90","52,211.90","51,022.90",652.57K,0.40%
9/18/2018,"51,178.00","50,867.80","51,488.10","50,867.80",1.14M,-0.90%
9/17/2018,"51,643.20","52,211.90","52,677.10","51,384.70",1.18M,-1.96%
9/14/2018,"52,677.10","52,470.30","52,883.90","52,211.90",566.22K,0.39%
9/13/2018,"52,470.30","51,953.40","53,039.00","51,953.40",762.04K,0.99%
9/12/2018,"51,953.40","51,694.90","52,780.50","51,694.90",880.50K,0.80%
9/11/2018,"51,539.80","50,661.00","51,643.20","50,144.10",657.51K,1.53%
